comment,non-information
"<p>The tool scans all files and directories, starting from an indicated  *  root path. The following abnormal conditions are detected and handled:</p>  * <ul>  * <li>files with blocks that are completely missing from all datanodes.<br/>  * In this case the tool can perform one of the following actions:  *  <ul>  *      <li>none ({@link #FIXING_NONE})</li>  *      <li>move corrupted files to /lost+found directory on DFS  *      ({@link #FIXING_MOVE}). Remaining data blocks are saved as a  *      block chains, representing longest consecutive series of valid blocks.</li>  *      <li>delete corrupted files ({@link #FIXING_DELETE})</li>  *  </ul>  *  </li>  *  <li>detect files with under-replicated or over-replicated blocks</li>  *  </ul>  *  Additionally, the tool collects a detailed overall DFS statistics, and  *  optionally can print detailed statistics on block locations and replication  *  factors of each file.",no
"Extract the substring that likely contributes to this Q_PROPERTY declaration.  The declaration         // could be in any state of being entered, so use the HeuristicScanner to guess about the         // possible structure.  The fixed assumptions are that the content assistant was invoked within         // the expansion parameter of Q_PROPERTY.  We try to guess at the end of the String, which is         // either the closing paren (within 512 characters from the opening paren) or the current cursor         // location.          // The offset is always right after the opening paren, use it to get to a fixed point in the         // declaration.",no
// There are two significant regions in a Q_PROPERTY declaration.  The first is everything         // between the opening paren and the first parameter.  This region specifies the type and the         // name.  The other is the region that declares all the parameters.  There is an arbitrary         // amount of whitespace between these regions.         //         // This function finds and returns the offset of the end of the region containing the type and         // name.  Returns 0 if the type/name region cannot be found.,no
"// There are two types of proposals.  If the previous identifier matches a known attribute name,         // then we propose possible values for that attribute.  Otherwise we want to propose the identifiers         // that don't already appear in the expansion.         //         // This is implemented by iterating over the list of known attributes.  If any of the attributes         // matches the previous identifier, then we build and return a list of valid proposals for that         // attribute.         //         // Otherwise, for each attribute we build a regular expression that checks to see if that token         // appears within the expansion.  If it already appears, then the attribute is ignored.  Otherwise         // it is added as an unspecified attribute.  If the loop completes, then we create a list of proposals         // for from that unspecified list.",no
"We need to cover the following cases:  * 1. No snapshot, truncate to 0  * 2. No snapshot, truncate at block boundary  * 3. No snapshot, not on block boundary  * 4~6. With snapshot, all the current blocks are included in latest  *      snapshots, repeat 1~3  * 7~9. With snapshot, blocks in the latest snapshot and blocks in the current  *      file diverged, repeat 1~3",no
"// Use group entry (unnamed or named) with mask from permission bits           // applied if user is a member and entry grants access.  If user is a           // member of multiple groups that have entries that grant access, then           // it doesn't matter which is chosen, so exit early after first match.",no
"<pre>      * long timestamp;      * IBinding binding= null;      * index.acquireReadLock();      * try {      *    timestamp= index.getLastWriteAccess();      *    binding= index.findBinding(...);      * } finally {      *    index.releaseReadLock();      * }      * ...      * index.acqureReadLock();      * try {      *    if (index.getLastWriteAccess() != timestamp) {      *       // don't use binding, it's not valid anymore      *       binding= index.findBinding(...);      *    }      *    String name= binding.getName();      *    ...      * } finally {      *    index.releaseReadLock();      * }      */",no
"Move keyboard focus to menu, deferring the focus setting so                  * the focus is certainly moved to the menu in all browser after                  * the positioning has been done.",no
"make focusable, as we don't need access key magic we don't need             // to             // use FocusImpl.createFocusable",no
"// Make the default constructor private, since this only holds static methods.",no
"<p>      * The urls in UIDL message may use Vaadin specific protocol. Before      * actually using the urls on the client side, they should be passed via      * {@link com.vaadin.client.ApplicationConnection#translateVaadinUri(String)}.      * <p>      * Note that in current terminal implementation StreamVariables are cleaned      * from the terminal only when:      * <ul>      * <li>a StreamVariable with same name replaces an old one      * <li>the variable owner is no more attached      * <li>the developer signals this by calling      * {@link StreamingStartEvent#disposeStreamVariable()}      * </ul>      * Most commonly a component developer can just ignore this issue, but with      * strict memory requirements and lots of StreamVariables implementations      * that reserve a lot of memory this may be a critical issue.",no
"<p>      * If the {@link Component} is found in cache and this function returns true      * it may omit the content and close the tag, in which case cached content      * should be used.      * </p>      * <p>      * This method may also add only a reference to the paintable and queue the      * paintable to be painted separately.      * </p>      * <p>      * Each paintable being painted should be closed by a matching      * {@link #endPaintable(Component)} regardless of the {@link PaintStatus}      * returned.      * </p>",no
A previously unpainted or painted {@link Component} has been queued          * be created/update later in a separate change in the same set of          * changes.,no
"Painting started, addVariable() and addAttribute() etc. methods may          * be called.",no
"/**      * Add, Create/Link: always enabled      * Edit: enabled if 1 element selected (entry or filter)      * Delete: enabled if selected element is entry      */",no
"Test that VirtualBoundsGraphicObject scale correctly.      * To do that create a hierarchy of graphical object using virtual coordinates      * and sizes (bounds). Then set the real, pixel-bounds for the outer-most object.      * Verify that child objects end-up with expected pixel bounds.      *      * Also test retrieval of child objects.",no
"// The list of alarms has changed, which means that the parent              // node needs to refresh its contents, which in turn will re-fetch the             // elements from this node.",no
" // Since the label for triggers doesn't change, this node will generate          // delta info only if the list of alarms is changed.",no
// localFS is set in (and used by) writeToIndexFile(),no
//the format of the index file is     //LOG_DIR: <the dir where the task logs are really stored>     //stdout:<start-offset in the stdout file> <length>     //stderr:<start-offset in the stderr file> <length>     //syslog:<start-offset in the syslog file> <length>,no
// the file doesn't have anything,no
// special cases are the debugout and profile.out files. They are       // guaranteed       // to be associated with each task attempt since jvm reuse is disabled       // when profiling/debugging is enabled,no
//the format of the index file is       //LOG_DIR: <the dir where the task logs are really stored>       //STDOUT: <start-offset in the stdout file> <length>       //STDERR: <start-offset in the stderr file> <length>       //SYSLOG: <start-offset in the syslog file> <length>,no
/**      * Constant representing a C Root workspace (IWorkspaceRoot object).      * A C element with this type can be safely cast to <code>ICModel</code>.      */,no
/**      * Constant representing a C project (IProject object).      * A C element with this type can be safely cast to <code>ICProject</code>.      */,no
/**      * Constant representing a folder (ICContainer object).      * A C element with this type can be safely cast to <code>ICContainer</code>.      */,no
     * Virtual container serving as a place holder.,no
     * Constant representing a C/C++ children of a Translation Unit,no
 Declaration of a class without the definition.      * class C;,no
* Declaration of a structure without the definition.      * struct C;,no
     * Constant representing a struct structure.,no
*      * Declaration of a union without the definition.      * struct C;,no
     * Constant representing a union structure.,no
"     * A method definition part of a structure(class, struct, union).",no
"     * A method declaration part of a structure(class, struct, union).",no
"     * A Field definition part of a structure(class, struct, union).",no
     * a C/C++ function prototype.,no
     * a C/C++ function definition.,no
     * Preprocessor #include directive.,no
     * C++ template class declaration without a definition.,no
     * C++ template class with definition.,no
     * C++ template struct.,no
     * C++ template struct.,no
     * C++ template union.,no
     * C++ template union.,no
     * C++ template function declaration.,no
     * C++ template function.,no
     * C++ template method.,no
     * C++ template method.,no
     * C++ template variable.,no
"/**      * An unknown ICElement.  Mainly used to determine what elements are not yet implemented.      * i.e. the new DOM Parser supports open declaration on labels, while the old parser did not      */",no
"/**      * Returns the path to the innermost resource enclosing this element.      * If this element is not included in an external archive,      * the path returned is the full, absolute path to the underlying resource,      * relative to the workbench.      * If this element is included in an external archive,      * the path returned is the absolute path to the archive in the file system.      * This is a handle-only method.      */",no
"/**      * Returns whether the structure of this element is known. For example, for a      * translation unit that could not be parsed, {@code false} is returned.      * If the structure of an element is unknown, navigations will return reasonable      * defaults. For example, {@code getChildren} will return an empty collection.      * <p>      * Note: This does not imply anything about consistency with the      * underlying resource/buffer contents.",no
"/**      * Returns a string representation of this element handle. The format of the      * string is not specified; however, the identifier is stable across      * workspace sessions, and can be used to recreate this handle via the      * <code>CoreModel.create(String)</code> method.      * <p>      * Some element types, like binaries, do not support handle identifiers and      * return {@code null}.",no
"// This is required because an incremental build will trigger make to                                 // do nothing for a missing source, since the state after the file                                 // removal is uptodate, as far as make is concerned                                 // A full build will clean, and ultimately trigger a relink without                                 // the object generated from the deleted source, which is what we want",no
// There is no point in checking anything else since we have                                 // decided to do a full build anyway,no
"// This is required because an incremental build will trigger make to                                 // do nothing for a missing source, since the state after the file                                 // removal is uptodate, as far as make is concerned                                 // A full build will clean, and ultimately trigger a relink without                                 // the object generated from the deleted source, which is what we want",no
// There is no point in checking anything else since we have                                 // decided to do a full build anyway,no
 <p>This saves memory over creating a new OutputStream and  * ByteArrayOutputStream each time data is written.  *  * <p>Typical usage is something like the following:<pre>  *  * OutputBuffer buffer = new OutputBuffer();  * while (... loop condition ...) {  *   buffer.reset();  *   ... write buffer using OutputStream methods ...  *   byte[] data = buffer.getData();  *   int dataLength = buffer.getLength();  *   ... write data to its ultimate destination ...  * }  * </pre>,no
" /**  * This interface can be implemented by clients to contribute custom build-option   * editors to the CDT Build Settings page in the project Properties dialog.  *   * In addition to implementing this interface, the custom build-option editor class  * must also extend the {@link org.eclipse.jface.preference.FieldEditor} class. The  * custom build-option editor class should be contributed through the <fieldEditor>   * element of the org.eclipse.cdt.managedbuilder.ui.buildDefinitionsUI extension-point,  * and then referenced, by its ID, from the <option>/fieldEditorId attribute of the   * org.eclipse.cdt.managedbuilder.core.buildDefinitions extension-point.  *    * @since 8.0  */",no
" // We allow rollback to a state, which is either consistent with     // the namespace state or can be further upgraded to it.     // In another word, we can only roll back when ( storedLV >= software LV)     // && ( DN.previousCTime <= NN.ctime)",no
 // 4.rename <SD>/current/<bpid>/previous.tmp to     // <SD>/current/<bpid>/previous,no
 // 2. Rename <SD>/current/<bpid>/current to     //    <SD>/current/<bpid>/previous.tmp,no
// 2. Do transitions       // Each storage directory is treated individually.       // During startup some of them can upgrade or roll back       // while others could be up-to-date for the regular startup.,no
/**      * Gets resource as stream.      * <p>      * Note that this method is called while the session is locked to prevent      * race conditions but the methods in the returned {@link DownloadStream}      * are assumed to be unrelated to the VaadinSession and are called without      * holding session locks (to prevent locking the session during long file      * downloads).      * </p>      *       * @return A download stream which produces the resource content      */,no
// Subtract one from the width and height                 // in the case of drawOval because that method                 // adds a pixel to each value for some reason,no
// ${mapred.out.dir}/_temporary/_${taskid}/${name},no
// ${mapred.out.dir},no
" * <b id=""SideEffectFiles"">Tasks' Side-Effect Files</b>    *     * <p><i>Note:</i> The following is valid only if the {@link OutputCommitter}    *  is {@link FileOutputCommitter}. If <code>OutputCommitter</code> is not     *  a <code>FileOutputCommitter</code>, the task's temporary output    *  directory is same as {@link #getOutputPath(JobConf)} i.e.    *  <tt>${mapreduce.output.fileoutputformat.outputdir}$</tt></p>    *      * <p>Some applications need to create/write-to side-files, which differ from    * the actual job-outputs.    *     * <p>In such cases there could be issues with 2 instances of the same TIP     * (running simultaneously e.g. speculative tasks) trying to open/write-to the    * same file (path) on HDFS. Hence the application-writer will have to pick     * unique names per task-attempt (e.g. using the attemptid, say     * <tt>attempt_200709221812_0001_m_000000_0</tt>), not just per TIP.</p>     *     * <p>To get around this the Map-Reduce framework helps the application-writer     * out by maintaining a special     * <tt>${mapreduce.output.fileoutputformat.outputdir}/_temporary/_${taskid}</tt>     * sub-directory for each task-attempt on HDFS where the output of the     * task-attempt goes. On successful completion of the task-attempt the files     * in the <tt>${mapreduce.output.fileoutputformat.outputdir}/_temporary/_${taskid}</tt> (only)     * are <i>promoted</i> to <tt>${mapreduce.output.fileoutputformat.outputdir}</tt>. Of course, the     * framework discards the sub-directory of unsuccessful task-attempts. This     * is completely transparent to the application.</p>    *     * <p>The application-writer can take advantage of this by creating any     * side-files required in <tt>${mapreduce.task.output.dir}</tt> during execution     * of his reduce-task i.e. via {@link #getWorkOutputPath(JobConf)}, and the     * framework will move them out similarly - thus she doesn't have to pick     * unique paths per task-attempt.</p>    *     * <p><i>Note</i>: the value of <tt>${mapreduce.task.output.dir}</tt> during     * execution of a particular task-attempt is actually     * <tt>${mapreduce.output.fileoutputformat.outputdir}/_temporary/_{$taskid}</tt>, and this value is     * set by the map-reduce framework. So, just create any side-files in the     * path  returned by {@link #getWorkOutputPath(JobConf)} from map/reduce     * task to take advantage of this feature.</p>    *     * <p>The entire discussion holds true for maps of jobs with     * reducer=NONE (i.e. 0 reduces) since output of the map, in that case,     * goes directly to HDFS.</p>",no
"   // Original set of values. So we can see what has really changed on the save and     // perform appropriate change operations. We only really want to operate on changed     // values, to avoid generating churn.",no
"  /**    * An ACL entry to be applied to a directory's children that do not otherwise    * have their own ACL defined.  Unlike an access ACL entry, a default ACL    * entry is not inspected as part of permission enforcement on the directory    * that owns it.    */",no
/**    * An ACL entry that is inspected during permission checks to enforce    * permissions.    */,no
"// Integer constants written in binary are a non-standard extension          // supported by GCC since 4.3 and by some other C compilers         // They consist of a prefix 0b or 0B, followed by a sequence of 0 and 1 digits         // see http://gcc.gnu.org/onlinedocs/gcc/Binary-constants.html",no
      * Executor used to synchronize data access in this cache manager.        * It has to be the same executor that is used by the data generators in       * order to guarantee data consistency.,no
"// Make sure that if clients are currently waiting for a count,             // they are notified of the update (their request monitors will be              // completed with an error).  They shoudl then re-request data              // from provider again.",no
This specific implementation might provide resource management as well    * as resource metrics functionality. We need to ensure that the same    * instance is used for both.,no
 Returns a (possibly null) reference to a cGroupsHandler. This handler is    * non-null only if one or more of the known cgroups-based resource    * handlers are in use and have been initialized.,no
"/**  * Represents expansions of the Q_ENUMS macro within a class declaration.  * <pre>  * class B : public QObject  * {  * Q_OBJECT  * enum E { enumerator };  * Q_ENUMS( E )  * };  *  * class Q : public QObject  * {  * Q_OBJECT  * Q_ENUMS( B::E E0 )  * Q_ENUMS( E1 )  * enum E0 { e0a, e0b = 2 };  * enum E1 { e1 };  * }  * </pre>  * NOTE: http://qt-project.org/doc/qt-4.8/qobject.html#Q_ENUMS  * <blockquote>  * If you want to register an enum that is declared in another class, the enum must be fully qualified  * with the name of the class defining it. In addition, the class defining the enum has to inherit  * QObject as well as declare the enum using Q_ENUMS().  * </blockquote>  * So, the lookup for the C++ enum only needs to look in the same class spec when the name is not  * qualified.  When it is qualified, then it needs to find the QObject and then look at its Q_ENUMS.  */",no
"/**      * Returns the name of the enumerator as referenced in parameter in the Q_ENUMS      * macro expansion.  In the sample code in the class declaration, this would return      * ""B::E"", ""E0"", or ""E1"".      */",no
"/**      * Returns an unsorted collection of the enumerators contained in the enum references      * in the Q_ENUMS macro expansion.      * <p>      * NOTE: It would be nice if the textual order of the enumerators was preserved by the      * underlying CDT index, but it is not.  The {@link Enumerator#getOrdinal()} method can      * be used to recover some ordering information.      */",no
/**      * Returns true if this enumeration was introduced to the Qt meta-object system with      * a Q_FLAGS expansion and false if it was introduced with Q_ENUMS.      */,no
/**      * A small wrapper class for the enumerators that are declared within the enum that is      * referenced by the parameter of the Q_ENUMS macro expansion.      */,no
// Always ensure the selected tab is visible. If server prevents a tab         // change we might end up here with visibleWidget == newVisible but its         // parent is still hidden.,no
// lastRecs might have been set to an object already by another thread.         // Track the fact that lastRecs has been reset once to make sure refresh         // is correctly triggered.,no
Operation which selects a random file and attempts to delete that file (if it  * exists)  *   * This operation will capture statistics on success the time taken to delete  * and the number of successful deletions that occurred and on failure or error  * it will capture the number of failures and the amount of time taken to fail,no
/**      * Entry kind constant describing a path entry identifying a      * library. A library is an archive containing       * consisting of pre-compiled binaries.      */,no
/**      * Entry kind constant describing a path entry identifying a      * required project.      */,no
/**      * Entry kind constant describing a path entry identifying a      * folder containing source code to be compiled.      */,no
/**      * Entry kind constant describing a path entry identifying a      * include path.      */,no
/**      * Entry kind constant describing a path entry representing      * a container id.      *      */,no
/**      * Entry kind constant describing a path entry representing      * a macro definition.      *      */,no
/**      * Entry kind constant describing output location      *      */,no
"/**      * Entry kind constant describing a path entry representing      * a file that will be process file as if ""#include ""file"""" appeared as      * the first line of the source file.      */",no
"/**      * Entry kind constant describing a path entry representing      * a file that will be process file as if ""#include ""file"""" appeared as      * the first line of the source file but only the macro definitions are kept.      *       */",no
/**      * Returns the kind of this path entry.      *      * @return one of:      * <ul>      * <li><code>CDT_SOURCE</code> - this entry describes a source root in its project      * <li><code>CDT_LIBRARY</code> - this entry describes a library      * <li><code>CDT_PROJECT</code> - this entry describes another project      * <li><code>CDT_INCLUDE</code> - this entry describes a include path      * <li><code>CDT_MACRO</code> - this entry describes a macro definition      * <li><code>CDT_CONTAINER</code> - this entry describes a container id      * <li><code>CDT_OUTPUT</code> - this entry describes output location      * <li><code>CDT_INCLUDE_FILE</code> - this entry describes a file to be process as an include      * <li><code>CDT_MACRO_FILE</code> - this entry describes a file containing macro definitions      */,no
/**  * A test class for testing GridLayoutExpandRatio. The class is empty because  * the name convention is UIClassName+Test. GridLayoutExpandRatioTest and  * GridLayoutHideMiddleCellsTest behave the same way but on different UI  * classes. Thats why they have different names and zero code.  */,no
"Cache the collection of bean properties for a given type to avoid doing a      * quite expensive lookup multiple times. Will be used from any thread that      * happens to process Vaadin requests, so it must be protected from      * corruption caused by concurrent access.",no
* Decodes a value that is of an internal type.      * <p>      * Ensures the encoded value is of the same type as target type.      * </p>      * <p>      * Allows restricting collections so that they must be declared using      * generics. If this is used then all objects in the collection are encoded      * using the declared type. Otherwise only internal types are allowed in      * collections.      * </p>,no
"  /**    * This method transfers data using local buffer. It transfers data from     * a disk to a local buffer in memory, and then it transfers data from the     * buffer to the target. This is used only if transferTo is disallowed in    * the configuration file. super.TransferTo does not perform well on Windows     * due to a small IO request generated. customShuffleTransfer can control     * the size of the IO requests by changing the size of the intermediate     * buffer.    */",no
//We can read more than we need if the actualCount is not multiple          //of the byteBuffer size and file is big enough. In that case we cannot         //use flip method but we need to set buffer limit manually to trans.,no
"The map output field list spec is under attribute   * ""mapreduce.fieldsel.map.output.key.value.fields.spec"".  * The value is expected to be like ""keyFieldsSpec:valueFieldsSpec""  * key/valueFieldsSpec are comma (,) separated field spec: fieldSpec,fieldSpec,fieldSpec ...  * Each field spec can be a simple number (e.g. 5) specifying a specific field, or a range  * (like 2-5) to specify a range of fields, or an open range (like 3-) specifying all   * the fields starting from field 3. The open range field spec applies value fields only.  * They have no effect on the key fields.",no
"The reduce output field list spec is under attribute   * ""mapreduce.fieldsel.reduce.output.key.value.fields.spec"".  *   * The reducer extracts output key/value pairs in a similar manner, except that  * the key is never ignored.",no
"/**  * <p>  * <code>TaskId</code> represents the unique identifier for a Map or Reduce  * Task.  * </p>  *   * <p>  * TaskId consists of 3 parts. First part is <code>JobId</code>, that this Task  * belongs to. Second part of the TaskId is either 'm' or 'r' representing  * whether the task is a map task or a reduce task. And the third part is the  * task number.  * </p>  */",no
 @throws CoreException if,no
" @exception IllegalArgumentException if the given resource is not one of      *     an IProject, IFolder, or IFile.",no
   * @throws IllegalArgumentException if an argument is invalid,no
   * @throws ServiceStateException on any failure to initialize,no
   * @return a registry operations instance,no
   * @throws ServiceStateException on any failure to initialize,no
   * @throws ServiceStateException on any failure to initialize,no
   * @throws ServiceStateException on any failure to initialize,no
   * @throws ServiceStateException on any failure to initialize,no
   * @throws ServletException thrown if the filter or the authentication handler could not be initialized properly.,no
   * @throws ServletException thrown if the configuration could not be created.,no
   * @throws AuthenticationException thrown if the token is invalid or if it has expired.,no
   * @throws IOException thrown if an IO error occurred.,no
   * @throws ServletException thrown if a processing error occurred.,no
   * @throws IOException thrown if an IO error occurred.,no
   * @throws ServletException thrown if a processing error occurred.,no
   * @throws IOException thrown if an IO error occurred.,no
   * @throws IOException,no
   * @throws IOException if bookies are not started by the time the timeout hits,no
     * @throws CoreException,no
     * @throws CoreException if project creation fails for any reason,no
     * @throws CoreException if project creation fails for any reason,no
"  * @throws PortletModeException      *             if the portlet mode is not allowed for some reason      *             (configuration, permissions etc.)",no
 @throws IllegalStateException      *             if not processing a request of the correct type,no
(error?),no
// ok,no
// expected,no
// expected,no
// this is the first time,no
"@throws IllegalArgumentException if the given value is already bound to a    *     different key in this bimap. The bimap will remain unmodified in this    *     event. To avoid this exception, call {@link #forcePut} instead.",no
@throws IllegalArgumentException if an attempt to {@code put} any    *     entry fails. Note that some map entries may have been added to the    *     bimap before the exception was thrown.,no
@throws IllegalArgumentException if the first character of a non empty path    * is not {@link #PATH_SEPARATOR},no
@throws CModelException,no
@throws CModelException,no
@throws CModelException,no
@throws YarnException,no
@throws IOException,no
 @throws YarnException,no
@throws IOException,no
@throws CoreException,no
"However, knowing only the column type may not be sufficient to handle the data properly.  * For instance, a double column with values 0.0, 1.0, 2.0, ... may represent some label indices,  * which cannot be treated as numeric values in ML algorithms, and, for another instance, we may  * want to know the names and types of features stored in a vector column.  * ML attributes are used to provide additional information to describe columns in a dataset.",no
@throws SQLException,no
 @throws AllocationConfigurationException,no
@throws UnsupportedFilterException,no
@throws UnsupportedOperationException always,no
@throws UnsupportedOperationException always,no
@throws UnsupportedOperationException always,no
@throws UnsupportedOperationException always,no
"@throws IllegalArgumentException if neither this range nor the domain has a lower bound, or if    *         neither has an upper bound",no
@throws IllegalArgumentException if {@code range} is empty or has nonempty intersection with      *         any ranges already added to the builder,no
@throws IOException,no
@throws NoDataException,no
 @throws SymbolTableException If the global scope has already been closed or if bindingScope is null.,no
@throws Exception,no
@throws Exception,no
   * @throws Exception,no
@throws IOException,no
"@throws QuotaExceededException if namespace, storagespace or storage type    * space quota is violated after applying the deltas.",no
   * @throws IOException when a problem occurs while printing,no
@throws IOException IO problems,no
   * @throws IOException IO problems,no
   * @throws IOException IO problems,no
   * @throws IOException IO problems during file operations,no
   * @throws IOException,no
   * @throws IOException IO problems,no
   * @throws IOException on IO problems,no
   * @throws IOException on File IO problems,no
   * @throws IOException on File IO problems,no
   * @throws AssumptionViolatedException always,no
   * @throws AssumptionViolatedException always,no
   * @throws IOException IO problems,no
   * @throws IOException IO problems,no
   * @throws IOException IO problems,no
   * @throws SwiftConfigurationException missing parameter or bad URI,no
   * @throws AssumptionViolatedException always,no
   * @throws IOException,no
   * @throws URISyntaxException,no
   * @throws IllegalArgumentException if duplicate keys or values are added,no
   * @throws IllegalArgumentException if duplicate keys or values are added,no
   * @throws IllegalArgumentException if duplicate keys or values are added,no
   * @throws IllegalArgumentException if duplicate keys or values are added,no
   * @throws UnsupportedOperationException always,no
"   * @throws NullPointerException if any key, value, or entry is null",no
@throws IllegalArgumentException if two keys have the same value or two    *         values have the same key,no
   * @throws NullPointerException if any key or value in {@code map} is null,no
   * @throws IllegalArgumentException if two keys have the same value,no
     * @throws IllegalArgumentException if duplicate keys or values were added,no
     * @throws IllegalStateException if this method was already called,no
"     * @throws NullPointerException if any key, value, or entry is null",no
     * @throws NullPointerException if any key or value in {@code map} is null,no
   * @throws SnapshotException if there are snapshots in the directory.,no
@throws IOException   *           Throw IOException when the given path does not lead to an   *           existing snapshottable directory.,no
"@throws IOException    *           Throw IOException when 1) the given path does not lead to an    *           existing snapshottable directory, and/or 2) there exists a    *           snapshot with the given name for the directory, and/or 3)    *           snapshot number exceeds quota",no
"@throws IOException    *           Throw IOException when 1) the given path does not lead to an    *           existing snapshottable directory, and/or 2) the snapshot with the    *           old name does not exist for the directory, and/or 3) there exists    *           a snapshot with the new name for the directory",no
   * @throws IOException,no
   * @throws IOException,no
   * @throws YarnException,no
   * @throws YarnException,no
     * @throws SQLException,no
@throws IOException The file is not a valid archive.,no
@throws IOException       *    Unable to process the archive file.,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
@throws UnsupportedOperationException      *             if the selection model does not support either handles or      *             deselection,no
@throws UnsupportedOperationException      *             if the selection model does not support either handles or      *             selection,no
   * @throws CloneNotSupportedException,no
@throws IOException in case of an error,no
@throws DebugException      *             if unable to retrieve the specified memory,no
@throws CoreException      *             if decoding and string is not in the expected format,no
   * @throws IllegalArgumentException if the long is greater or equal to zero.,no
   * @throws IllegalArgumentException if the integer is greater or equal to zero.,no
   * @throws IllegalArgumentException if the long is zero or less.,no
   * @throws IllegalArgumentException if the integer is zero or less.,no
   * @throws IllegalArgumentException if the string is not a valid identifier.,no
@throws IllegalArgumentException if the string list has NULL or empty    * elements.,no
   * @throws IllegalArgumentException if the variable is NULL or empty.,no
   * @throws IllegalArgumentException if the list has NULL elements.,no
   * @throws IllegalArgumentException if the variable is NULL.,no
@throws IllegalArgumentException if the given appId is not associated with a SASL user.,no
@throws IllegalArgumentException if the given appId is not associated with a SASL secret key.,no
     * @throws IOException,no
     * @throws IOException,no
     * @throws IOException,no
     * @throws IOException,no
     * @throws IOException,no
     * @throws IOException,no
   * @throws Exception if there is any failure,no
   * @throws Exception thrown if the KDC setup fails,no
@throws InterruptedException thrown if interrupted while creating a    * file system handle,no
   * @throws Exception thrown if things break,no
   * @throws Exception thrown if things break,no
   * @throws IOException thrown if login or directory creation fails,no
   * @throws IOException when a problem occurs while printing,no
         * @throws CoreException,no
         * @throws IllegalArgumentException,no
     * @throws IOException,no
     * @throws IOException,no
@throws UnsupportedOperationException if the {@code applyTo} method is not supported by this    *     element.,no
     * @throws CoreException,no
     * @throws CoreException,no
     * @throws CoreException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
     * @throws IOException,no
     * @throws IOException,no
@throws IOException If capacity was not specified during construction    *                     or if capacity has been reached.,no
"@throws IOException If the child InputSplit cannot be read, typically    *                     for failing access checks.",no
     * @throws BadLocationException,no
     * @throws BadLocationException,no
     * @throws BadLocationException if the document got changed concurrently,no
@throws ServletException    *           thrown if the handler could not be initialized.,no
   * @throws Exception if there is any failure,no
   * @throws RuntimeException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IOException,no
   * @throws IllegalStateException if multiple binding annotations exist.,no
   * @throws Exception if there is any failure,no
@throws IOException,no
     * @exception DebugException on failure. Reasons include:,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
 @throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
 @throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
 @throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException,no
@throws PaintException,no
@throws PaintException      *             if the paint operation failed.,no
 @throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
 @throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint oparation fails,no
@throws PaintException      *             if the paint operation failed.,no
 @throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
@throws PaintException      *             if the paint operation failed.,no
   * @throws IllegalArgumentException on invalid identifier,no
"A PBImageDelimitedTextWriter generates a text representation of the PB fsimage,  * with each element separated by a delimiter string.  All of the elements  * common to both inodes and inodes-under-construction are included. When  * processing an fsimage with a layout version that did not include an  * element, such as AccessTime, the output file will include a column  * for the value, but no value will be included.  *  * Individual block information for each file is not currently included.  *  * The default delimiter is tab, as this is an unlikely value to be included in  * an inode path or other text metadata. The delimiter value can be via the  * constructor.",no
     * @throws CModelException,no
@exception CModelException if this element does not exist or if an      *        exception occurs while accessing its corresponding resource,no
"//configuration rebuild state is set to true,             //full rebuild is needed in any case             //clean first, then make a full build",no
"//configuration rebuild state is set to true,             //full rebuild is needed in any case             //clean first, then make a full build",no
@throws IOException,no
   * @throws IOException if an IO error occurred.,no
@throws IOException,no
     * @throws PaintException,no
@throws IOException,no
@throws IOException,no
@throws SwiftConfigurationException if the URI host doesn't parse into    *                                     container.service,no
@throws SwiftConfigurationException if the URI host doesn't parse into    *                                     container.service,no
   * @throws IOException,no
   * @throws IOException on error,no
   * @throws IOException on error,no
   * @throws IOException Signals that an I/O exception has occurred.,no
   * @throws IOException Signals that an I/O exception has occurred.,no
   * @throws IOException if error occurs during hardlink,no
   * @throws IOException on error,no
   * @throws IOException if the directory is not empty or it can not be removed,no
@throws CoreException,no
@throws ServiceStateException if the service state is different from    * the desired state,no
   * @throws ServiceStateException if the transition is not permitted,no
@throws IOException,no
"@throws IllegalArgumentException if the class was specified, but not found",no
